"2_b_lwr50","2_b_upr50","2_b_lwr90","2_b_upr90","5_b_lwr50","5_b_upr50","5_b_lwr90","5_b_upr90","10_b_lwr50","10_b_upr50","10_b_lwr90","10_b_upr90","20_b_lwr50","20_b_upr50","20_b_lwr90","20_b_upr90","30_b_lwr50","30_b_upr50","30_b_lwr90","30_b_upr90","40_b_lwr50","40_b_upr50","40_b_lwr90","40_b_upr90","50_b_lwr50","50_b_upr50","50_b_lwr90","50_b_upr90"
4.99545025398103,8.02935358883132,4.99545025398103,8.02935358883132,5.32294779331551,7.4781330070279,5.1930679039046,7.83438934376812,5.4310542934679,7.4781330070279,5.1930679039046,7.93150353228355,5.4310542934679,7.54445889962017,5.12070016297932,7.9221390872616,5.46567140698207,7.46254220024236,5.1930679039046,7.9221390872616,5.4310542934679,7.44622882641756,5.1930679039046,7.9221390872616,5.46567140698207,7.46254220024236,5.18737912606963,7.93150353228355
4.74415457278704,8.04483530743698,4.74415457278704,8.04483530743698,5.17961187703105,7.42146326757267,5.05435816738816,7.89133784425815,5.27428319205029,7.42146326757267,4.9805808121944,7.92941810663978,5.27428319205029,7.42146326757267,4.88253978735574,7.90936474355396,5.35471859988288,7.39983709465815,4.9805808121944,7.90936474355396,5.27756249089072,7.39389574810667,4.9805808121944,7.90936474355396,5.35471859988288,7.39983709465815,4.97499133920693,7.92941810663978
4.5029690417416,8.06283939012389,4.5029690417416,8.06283939012389,5.0474605701402,7.36574885539455,4.83563415160941,7.95267268882157,5.08786019094729,7.36574885539455,4.77161064327364,7.92869962280872,5.08786019094729,7.36574885539455,4.65584229898334,7.898492380449,5.23473929209294,7.34262820402461,4.77161064327364,7.898492380449,5.13731471663144,7.34262820402461,4.77161064327364,7.898492380449,5.2192688346292,7.34262820402461,4.77161064327364,7.92869962280872
4.27435646801445,8.08285781846553,4.27435646801445,8.08285781846553,4.91234744974079,7.33958288492368,4.62198473819845,8.01766307932519,4.91234744974079,7.34613883501435,4.56991952303307,7.92902863811065,4.91234744974079,7.34613883501435,4.44004519520647,7.89414552766096,5.07418761265398,7.29226530583009,4.56991952303307,7.89414552766096,5.00897385886253,7.29226530583009,4.56991952303307,7.89414552766096,5.0187306938256,7.29226530583009,4.56991952303307,7.92902863811065
4.05682357837194,8.10442638463701,4.05682357837194,8.10442638463701,4.74562433692455,7.3257946733092,4.41410949794198,8.08557141241778,4.74562433692455,7.34322833541837,4.37966585540477,7.93013935753271,4.74562433692455,7.34322833541837,4.23452667449155,7.96850754389743,4.88364743923108,7.24264045595998,4.37966585540477,7.89376465178947,4.82815473249127,7.24264045595998,4.37966585540477,7.89376465178947,4.82815473249127,7.24264045595998,4.37966585540477,7.93013935753271
3.84898216368404,8.15578022964467,3.84898216368404,8.15578022964467,4.58930813281825,7.31309406586979,4.20304509390618,8.15578022964467,4.58930813281825,7.34264610742673,4.19829556192434,7.93164984215815,4.58930813281825,7.34264610742673,4.03877562884768,8.04946003254918,4.69425766712041,7.19360592376944,4.19829556192434,7.89590951306701,4.64391937153954,7.19360592376944,4.19829556192434,7.89590951306701,4.64391937153954,7.19360592376944,4.19829556192434,7.93164984215815
3.65266470331392,8.22780073773441,3.65266470331392,8.22780073773441,4.44065158654422,7.30098376571465,4.00133270270672,8.22780073773441,4.44065158654422,7.34481008274565,4.00133270270672,7.93373704830458,4.44065158654422,7.34481008274565,3.85228074151471,8.13461981151118,4.51385456631892,7.14562181177422,4.00133270270672,7.9024175553136,4.46800670854531,7.14562181177422,4.00133270270672,7.9024175553136,4.46800670854531,7.16430704418644,4.00133270270672,7.93373704830458
3.46477790395901,8.30125324861035,3.46477790395901,8.30125324861035,4.29917484169749,7.28921621554639,3.80928938041624,8.30125324861035,4.29917484169749,7.36019686593261,3.80928938041624,7.98300232771373,4.29917484169749,7.34961387160245,3.67449196124596,8.2233748696184,4.34041194618911,7.12372843239206,3.80928938041624,7.98300232771373,4.29752559066753,7.12294117691306,3.80928938041624,7.98300232771373,4.29752559066753,7.19211554522292,3.80928938041624,7.98300232771373
3.28685709435771,8.375843207662,3.28685709435771,8.375843207662,4.13945859946369,7.28997645466495,3.62579459916921,8.375843207662,4.16471774594862,7.39716014860374,3.62579459916921,8.06593107764934,4.16471774594862,7.35613305074258,3.50493300987262,8.31520382468972,4.17393027390719,7.15329968151264,3.62579459916921,8.06593107764934,4.13490915296802,7.15329968151264,3.62579459916921,8.06593107764934,4.13490915296802,7.22177738865343,3.62579459916921,8.06593107764934
3.11667106680526,8.451340418646,3.11667106680526,8.451340418646,3.97221331162774,7.30967242789518,3.45071727193166,8.451340418646,4.01409251961951,7.44374291291007,3.45071727193166,8.15092890716653,4.01409251961951,7.36395278152452,3.34325755475945,8.40966145385641,4.01409251961951,7.18480886277154,3.45071727193166,8.15092890716653,3.97834201682957,7.18480886277154,3.45071727193166,8.15092890716653,3.97834201682957,7.25285329191684,3.45071727193166,8.15092890716653
