"method","tvec","lwr","upr"
"BD2",0,5.33007188729431,7.97769075817376
"BD2",1,5.1930679039046,7.9934567707458
"BD2",2,5.05435816738816,8.01225458090778
"BD2",3,4.83563415160941,8.03346209763606
"BD2",4,4.62613946854853,8.05651144648761
"BD2",5,4.41410949794198,8.08064027329709
"BD2",6,4.20304509390618,8.10603076920581
"BD2",7,4.00133270270672,8.13240612496878
"BD2",8,3.80928938041624,8.15916927473978
"BD2",9,3.62579459916921,8.18606758245824
"BD2",10,3.45071727193166,8.21297918445947
"BD2",11,3.28372074047516,8.23980887554387
"BD2",12,3.12447902484834,8.32619245111778
"BD2",13,2.97269263862958,8.41688053680059
"BD2",14,2.82805250116374,8.5068603392067
"BD2",15,2.6903240157076,8.59979617788906
"BD2",16,2.55991515069786,8.69839702712096
"BD2",17,2.43853650116034,8.81132254699066
"BD2",18,2.32827103803547,8.9503218897064
"BD2",19,2.23097382367845,9.12468115755831
"BD2",20,2.14708408175736,9.33645683786193
"BD2",21,2.06633803279311,9.64748590249491
"BD2",22,1.98694697334457,10.116680529806
"BD2",23,1.91525254237939,10.6683580696136
"BD2",24,1.85031721303022,11.2611518485591
"BD2",25,1.79097636211595,11.8861023457699
"BD2",26,1.73631450896227,12.5395719523086
"BD2",27,1.68544940585576,13.2161261453011
"BD2",28,1.63815553952191,13.9176310731059
"BD2",29,1.59446133502683,14.651345944959
"BD2",30,1.55589159863422,15.4748904254016
"BD2",31,1.52709343252576,16.5321481125579
"BD2",32,1.5140937813266,18.006652437026
"BD2",33,1.52250179323744,20.0162512778105
"BD2",34,1.55307073345398,22.666032211364
"BD2",35,1.60606958680274,25.8905284236892
"BD2",36,1.67984141308011,29.7248500634228
"BD2",37,1.77133529447605,34.0870178057664
"BD2",38,1.84782854664547,38.9289347715362
"BD2",39,1.87159359322265,44.2336479135542
"BD2",40,1.89834218899915,50.0081779565653
"BD2",41,1.92756665576917,56.6109043259489
"BD2",42,1.95902495039235,65.5859237694343
"BD2",43,1.99252564168256,75.7612276016622
"BD2",44,2.02805222057441,87.2800647263089
"BD2",45,2.06554921371816,100.297186666238
"BD2",46,2.10493482712446,114.980554228239
"BD2",47,2.14615113783998,131.501782499156
"BD2",48,2.18917314646211,150.031518513823
"BD2",49,2.23395094295648,170.744079839806
"BD2",50,2.28041181746073,193.800928177772
"BD2",51,2.3285252594253,219.337572359778
"BD2",52,2.37825823146437,247.466428559877
"BD2",53,2.41298230743325,278.260079549315
"BD2",54,2.40959401924045,311.703094197454
"BD2",55,2.40571478024572,347.682753181809
